title,abstract,journal,date,authors,doi,category,search_query,source
Long-term use of cannabis-based medicines in two children with Tourette syndrome: a case report.,"Cannabis-based medicine (CBM) is recommended for the treatment of tics in otherwise treatment-resistant adult patients with Tourette syndrome (TS). However, evidence in children with TS is very limited. Long-term effects of CBM in this population are unknown.
We present two cases of long-term follow-up over six and five years, respectively, in male adolescents with TS who were administered CBM starting at the age of eight and 12 years, respectively. In one patient CBM treatment was initiated with pure tetrahydrocannabinol (THC) and was later changed to current treatment with an oral THC-dominant cannabis extract (THC:cannabidiol (CBD)=25:<0.5) with a daily dose of 0.5-0.6 mL (corresponding to 12.5-15 mg THC/day). The other patient was from the beginning up to now medicated by his parents, who are physicians, with vaporized THC-dominant (24%) medicinal cannabis flowers with a dose of 0.2 g between once to thrice per day (corresponding to 48-144 mg THC/day). While in one patient, there was a moderate dose increase over the years, in the other patient dosages were adjusted individually depending on tic severity. In both patients, CBM treatment resulted in continued benefit with significant improvement of tics and psychiatric comorbidities without severe adverse effects. Academic performance of both adolescents was excellent. Neurocognitive assessments demonstrated average results in the domain of working memory and average to above average results in the domain of processing speed.
We present two cases of minors with TS who started CBM treatment at the age of eight and 12 years, respectively, and continued treatment for five to six years resulting in clinically relevant symptom improvement without any severe adverse effects or negative impact on cognitive and academic performance.",Frontiers in psychiatry,2025-10-20,"['Lara-KatharinaWoerner', 'NataliaSzejko', 'CarolinFremer', 'SimonSchmitt', 'Kirsten RMüller Vahl']",10.3389/fpsyt.2025.1647969,tourette_syndrome,tourette syndrome,pubmed
The effectiveness of acupuncture in the treatment of Tourette syndrome in Chinese children: a systematic review and meta-analysis.,"As a prominent complementary and alternative therapy, acupuncture is widely used to treat Tourette syndrome in children. This review aims to evaluate its clinical efficacy and provide evidence-based support for acupuncture in pediatric Tourette syndrome.
We systematically searched six databases: China National Knowledge Infrastructure, Wanfang Database, VIP Information Chinese Journal Service Platform, PubMed, Cochrane Central Register of Controlled Trials, and Embase, from their inception to 10 April 2025. Randomized controlled trials comparing acupuncture alone versus medication, or acupuncture plus other treatments versus other treatments alone, for children tic disorder were included.
Thirty-two studies were included, with 2,201 participants. Acupuncture may be more effective in improving motor tics symptoms than dopamine agonist [WMD -3.04, 95% CI (-3.77, -2.31), RD 0.38 (0.29, 0.46)], slightly improving vocal tics [WMD -2.39, 95% CI (-3.51, -1.26), RD 0.21 (0.10, 0.35)] and overall condition [WMD -5.56, 95% CI (-7.28, -3.83), RD 0.05 (0.02, 0.09)], but having little difference in functional impairment [WMD -2.27, 95% CI (-3.58, -0.96), RD 0.14 (0.09, 0.20)]. Acupuncture may be more effective than blank treatment on basis of other therapies in improving motor tics [WMD -2.51, 95% CI (-3.54, -1.49), RD 0.31 (0.19, 0.41)] and vocal tics [WMD -2.56, 95% CI (-3.66, -1.45), RD 0.28 (0.15, 0.40)], but slightly improving functional impairment [WMD -2.91, 95% CI (-4.64, -1.19), RD 0.13 (0.05, 0.23)] and overall symptom severity [WMD -5.57, 95% CI (-7.47, -3.68), RD 0.11 (0.06, 0.17)].
Chinese children with Tourette syndrome using acupuncture may experience more improvement in motor tics symptoms than those using dopamine agonist. Acupuncture combined with other therapies may bring Chinese children with Tourette syndrome symptom relief in motor tics and vocal tics more than those alone. All results are supported by low-quality evidence.
https://www.crd.york.ac.uk/PROSPERO/view/CRD42023444312, identifier CRD42023444312.",Frontiers in public health,2025-10-20,"['Qian-QianZhou', 'Zi-ChenLi', 'Zhuo-YaHu', 'JuanTang', 'PengTang', 'Qi-RuiWu', 'Zhong-QiDeng', 'Wen-BinMa', 'LeiLan']",10.3389/fpubh.2025.1677592,tourette_syndrome,tourette syndrome,pubmed
Movement disorders: a brief overview from an evolutionary perspective.,"Evolutionary approach tries to explain several aspects of neurological diseases under the perspective of evolution. Evolutive bottle-neck may explain some aspects of neurodegenerative diseases. Additionally, a number of genetic alleles may reflect an evolutionary trade-off between benefits in early life and late-life disadvantages. Antagonistic pleiotropy theory suggests that some adaptive evolutionary changes increase individual fitness early in life, but can exacerbate detrimental aging-related processes We discuss three diseases with movement disorders from an evolutionary perspective: Parkinson's disease, Huntington's disease, and Tourette syndrome.","Journal of neural transmission (Vienna, Austria : 1996)",2025-10-16,['Pedro JGarcia Ruiz'],10.1007/s00702-025-03025-8,tourette_syndrome,tourette syndrome,pubmed
Abnormal development of corticospinal tracts in children with Tourette syndrome: A single-center retrospective study.,"To explore the abnormal changes and localization of never fiber bundles on magnetic resonance imaging diffusion tensor imaging (DTI) in children with Tourette syndrome, children with Tourette syndrome were retrospectively enrolled to undergo three-dimensional (3D) T1 + DTI sequence scanning, raw data collection of 1 to 15 year old head, and cross-sectional spacing of 0.5 mm on DTI scanning. The specific software was used to display relevant nerve fiber bundles on DTI. In total, 7 children with Tourette syndrome were enrolled including 6 boys and 1 girl aged 3 to 10 (5.6 ± 2.3) years. The symptoms included paroxysmal shoulder convulsions, facial muscle twitching, involuntary blinking, right hand twitching, epilepsy, involuntary shrug, and attention deficit. On DTI, the morphology and course of the corticospinal tracts were damaged or abnormal, the inferior frontal occipital tracts were damaged or abnormal, the fiber bundles in the compression part of the corpus callosum were reduced in the number and abnormal in the morphology, and the brain nerve fiber bundle connection was reduced. In conclusion, the nerve fiber bundle connection and damage and abnormality of the morphology and course of the corticospinal tract, fiber bundles of the compression part of the corpus callosum, and the inferior frontal occipital tract in children with the Tourette syndrome can be clearly observed on DTI, and the DTI technique can provide valuable imaging support for revealing the neuropathological mechanism of the Tourette syndrome in children.",Medicine,2025-10-15,"['Hong-XinJiang', 'Yan-MeiJu', 'Ting-TingGao', 'Jian-LiSun', 'Hong-GangWang', 'LeiCao', 'Shu-ManHan', 'Hui-ZhaoWu', 'Jin-XuWen', 'Bu-LangGao', 'Wen-JuanWu']",10.1097/MD.0000000000044702,tourette_syndrome,tourette syndrome,pubmed
Neuromodulation for Tourette syndrome: current techniques and future perspectives.,"Tourette syndrome (TS) is a chronic tic disorder characterized by motor and vocal tics. Neuropsychiatric symptoms are nearly universal in TS, particularly attention deficit hyperactivity disorder (ADHD) and obsessive-compulsive disorder (OCD). TS can have substantial effects on quality of life, social and intellectual development, opportunities, relationships, and more. Treatment options are limited; the most common being behavioral therapy and pharmacological interventions, such as antipsychotics and anti-adrenergic agents, often yielding unsatisfactory benefits. Neuromodulation, the alteration of neural pathways and networks under external stimulation, has been established as a viable treatment strategy for specific aspects of TS. Several neuromodulation techniques have been utilized, with deep brain stimulation (DBS) exhibiting the strongest efficacy at around 50% reduction of tics on average across cohorts. However, the invasive nature of DBS remains a disincentive for its uptake, as well as the natural reduction in tic severity for many TS individuals as they enter adulthood. Less-invasive neuromodulation has also been explored, but efficacy remains limited. Given its effectiveness in TS, DBS provides the unique opportunity to record neural activity from deep brain structures, which has been used to investigate underlying pathophysiology and search for biomarkers of treatment response. These insights may guide strategies for less invasive neuromodulation. In this narrative review, we aim to discuss currently utilized neuromodulation therapies for the treatment of TS, as well as propose potential future strategies. Additionally, we discuss how to maximize progress in the field, including crucial multicenter data sharing, utilization of recording capabilities on DBS devices, correlation with the precise location of implanted electrodes, and harnessing pre-clinical studies for a more parameterized understanding of TS neuromodulation. These techniques will enable a clearer understanding of TS and the mechanisms behind successful treatment. This could lead to advanced therapies that improve the quality of life for individuals with TS.",Journal of neural engineering,2025-10-14,"['SarahHaslam', 'Kara AJohnson', 'DariaAnderson', 'NeilMahant', 'CollinAnderson']",10.1088/1741-2552/ae1257,tourette_syndrome,tourette syndrome,pubmed
Nonmotor Symptom Scales in Children With Movement Disorders: A Scoping Review.,"Nonmotor symptoms (NMSs) in pediatric movement disorders, such as tics, dystonia, and cerebral palsy (CP), are important to consider but can be often overlooked, despite their substantial impact on daily functioning and quality of life. Understanding which NMSs are evaluated in these patient groups, and by which tools, can support the shaping of future research, including the potential development of future dedicated NMS assesment instruments. The aim of this scoping review was to identify the scales and tools used in routine practice and/or in research to assess NMSs in children with movement disorders.
A comprehensive search of MEDLINE, Embase, and PsycINFO was conducted for studies published between 1990 and 2023. Eligible studies included those that evaluated NMSs using scales in children aged 0-18 years with tic disorders, dystonia, or CP.
A total of 382 studies were included. Most of the articles identified were cross-sectional, cohort, and case-control studies. Cognitive impairment, mental health, behavioral difficulties, and pain were most frequently assessed using standardized scales. However, self-esteem and communication-critical components of social functioning-were rarely evaluated. The assessment of sleep disturbance, fatigue, and gastrointestinal and urinary symptoms was also less frequently addressed. Notably, our methodological approach may have led to an overrepresentation of NMS assessment in CP, given the larger body of literature available for this condition.
Significant gaps exist in the evaluation of NMSs in pediatric movement disorders, particularly in areas such as pain, sleep, and gastrointestinal issues. While standardization of NMS assessment is needed, it is unclear whether disorder-specific tools are preferable to broader NMS-focused measures. Given the current lack of data, using general scales may be a pragmatic first step, with refinement into disorder-specific tools as our understanding of symptom patterns evolves. Cross-cultural validation is also essential to improve the applicability of NMS scales across diverse populations. Integrating NMS assessment into routine clinical practice and interdisciplinary care may facilitate early identification and better management of these symptoms.",Neurology,2025-10-17,"['ClémentDesjardins', 'ChristelleNilles', 'HortensiaGimeno', 'Kathryn JPeall', 'DavideMartino', 'TamaraPringsheim', 'EmmanuelRoze']",10.1212/WNL.0000000000214289,tourette_syndrome,tic disorder,pubmed
Symptoms and sleep characteristics of tic disorder children with allergic diseases: a case-control study.,"Recent studies have shown a close relationship between tic disorder (TD) and allergic diseases in children. Allergic diseases also have a significant impact on children's sleep. Regrettably, it remains unclear whether TD children with comorbid allergic diseases exhibit distinct symptoms and sleep characteristics.
This study aimed to explore the symptoms and sleep characteristics of TD children with allergic diseases.
This was a case-control study involving 242 TD children (aged 3-14 years), of whom 168 had allergic diseases and 74 did not have allergic diseases. General information and allergy histories were recorded for all participants. The Yale Global Tic Severity Scale (YGTSS) was used to assess TD symptoms. All guardians of TD children were required to complete the Children's Sleep Habits Questionnaire (CSHQ).
Compared with the group of TD children without allergic diseases, the comorbid allergic disease group had significantly higher impairment scale scores and total tic scores on the YGTSS (all 
This study found that TD children with allergic diseases exhibited more severe clinical symptoms and higher CSHQ total scores. The clinical and sleep changes are particularly significant in TD children with different types of allergic diseases, especially allergic rhinitis and allergic conjunctivitis.",Frontiers in pediatrics,2025-10-16,"['ZhangPanpan', 'LiuYang', 'WangNa', 'MaTao', 'WangJinyuan', 'ZhangGuixiang', 'CuiYifan']",10.3389/fped.2025.1573463,tourette_syndrome,tic disorder,pubmed
Mental Health and Psychosocial Support During the Perioperative Period.,"Gender-affirming care (GAC) encompasses a comprehensive, patient-centered approach designed to support individuals in affirming their gender identity and expression. It includes a spectrum of medical, surgical, behavioral, social, psychological, and legal interventions tailored to the unique needs of each person. The mental and behavioral health needs of transgender and gender-diverse (TGD) individuals are highly individualized, requiring clinicians to provide care that is responsive to patients' mental and medical health needs. Before addressing perioperative psychosocial concerns, it is essential to understand the significant role mental health plays in the overall well-being of TGD individuals. Gender affirming providers with training in psychiatry, psychology, social work, and counseling are instrumental in supporting the mental health needs of TGD individuals. Perioperatively, this support can manifest in helping manage life stressors, treatment of underlying mental health disorders, conducting pre-surgical readiness assessment, and continued post-operative guidance.",Clinics in plastic surgery,2025-10-16,"['KalieGiovanni', 'RomySmith', 'LukeMuschialli', 'RachelBigley', 'KateThomas']",10.1016/j.cps.2025.06.009,tourette_syndrome,tic disorder,pubmed
Practical Tools for Female-specific ADHD: the impact of hormonal fluctuations in clinical practice and from the literature.,,European psychiatry : the journal of the Association of European Psychiatrists,2025-10-21,"['DoraWynchank', 'Maximede Jong', 'Sandra JjsKooij']",10.1192/j.eurpsy.2025.10120,adhd,ADHD,pubmed
Unraveling ADHD for the pediatrician.,"To review current evidence on the pathophysiology, clinical features, differential diagnosis, and therapeutic management of Attention-Deficit/Hyperactivity Disorder (ADHD), emphasizing the pediatrician's role in diagnostic recognition and coordination of multidisciplinary care.
Narrative synthesis of the contemporary literature addressing genetic and neurobiological underpinnings, diagnostic criteria, comorbidities, and treatment strategies relevant to pediatric practice.
ADHD is a multifactorial neurodevelopmental disorder involving genetic predisposition and neurobiological alterations, particularly in cortico-subcortical circuits related to dopaminergic and noradrenergic modulation. Clinical presentation varies with age and context and may be accompanied by comorbidities such as learning disorders, anxiety, and depression. Diagnosis is clinical, based on standardized criteria and assessment across multiple settings, and requires exclusion of conditions that mimic ADHD. Management is multimodal, encompassing psychosocial interventions, school-based support, and, when indicated, pharmacological therapy. Pediatricians serve as the first point of contact and play a central role in early identification, family guidance, and integration of healthcare and educational teams.
Proactive pediatrician involvement is essential for early diagnosis and effective management of ADHD, supporting better prognosis and the child's overall development.",Jornal de pediatria,2025-10-21,"['Erasmo BarbanteCasella', 'Beatriz BorbaCasella']",10.1016/j.jped.2025.101464,adhd,ADHD,pubmed
